"Handle","URL","Current Title","Current Description (first 200 chars)","Current Meta Description","Has JSON-LD","JSON-LD Type","Has Brand in JSON-LD","Has Reviews in JSON-LD","Has Offers in JSON-LD","Tag Count","Variant Count","Image Count","Recommended Title","Recommended Meta Description","Optimization Notes"
"swift-lightweight-hooded-windbreaker-jacket-3","https://tascperformance.com/products/swift-lightweight-hooded-windbreaker-jacket-3","Swift Lightweight Hooded Windbreaker Jacket","Experience effortless performance in our Swift Hooded Windbreaker. This lightweight jacket has a water-resistant finish to keep you comfortable in any weather condition. Stylish and functional, it's y","The Swift Hooded Windbreaker Shark Gray has a hood and water-resistant finish to keep you comfortable in any weather condition.","Yes","Product","Yes","No","Yes","25","5","4","","","Add reviews/ratings to JSON-LD"
"all-day-tank-9","https://tascperformance.com/products/all-day-tank-9","All Day Tank","One of our best sellers now as a tank, the brand-new All-Day Tank is ready to take on the day. This style effortlessly combines comfort and performance and is crafted from our super soft signature bam","The All-Day Tank combines comfort and performance and is crafted from our super soft signature bamboo fabric. It offers a relaxed fit with a more coverage.","Yes","Product","Yes","No","Yes","23","5","4","","","Add reviews/ratings to JSON-LD; Title may be too short"
"nola-long-sleeve-t-shirt-15","https://tascperformance.com/products/nola-long-sleeve-t-shirt-15","NOLA Long Sleeve T-Shirt","The NOLA Long Sleeve isn't your average long sleeve top. A light and breathable active top, it's designed to naturally wick moisture away from the body and protect your skin from the sun. Pair this el","The NOLA Long Sleeve isn't your average long sleeve top. A light and breathable active top, it's designed to naturally wick moisture away from the body and protect your skin from the sun. Pair this elevated essential with our jogger for an athleisure look or layer under our NOLA jacket for those chilly days! Explore ou","Yes","Product","Yes","No","Yes","25","5","6","","","Add reviews/ratings to JSON-LD; Title may be too short"
"nola-long-sleeve-t-shirt-16","https://tascperformance.com/products/nola-long-sleeve-t-shirt-16","NOLA Long Sleeve T-Shirt","The NOLA Long Sleeve isn't your average long sleeve top. A light and breathable active top, it's designed to naturally wick moisture away from the body and protect your skin from the sun. Pair this el","The NOLA Long Sleeve isn't your average long sleeve top. A light and breathable active top, it's designed to naturally wick moisture away from the body and protect your skin from the sun. Pair this elevated essential with our jogger for an athleisure look or layer under our NOLA jacket for those chilly days! Explore ou","Yes","Product","Yes","No","Yes","26","5","5","","","Add reviews/ratings to JSON-LD; Title may be too short"
"stadium-french-terry-sweatshirt-5","https://tascperformance.com/products/stadium-french-terry-sweatshirt-5","Stadium French Terry Sweatshirt","Elevate your everyday comfort with the Stadium French Terry Sweatshirt. Crafted from soft diagonal French terry, it’s designed for a relaxed fit with a fitted bottom band for a polished finish. This s","Stadium French Terry Sweatshirt - Spruce Heather. Crafted from soft diagonal French terry, it’s designed for a relaxed fit with a polished finish.","Yes","Product","Yes","No","Yes","24","5","5","","","Add reviews/ratings to JSON-LD"
"stadium-french-terry-sweatshirt-w","https://tascperformance.com/products/stadium-french-terry-sweatshirt-w","Stadium French Terry Sweatshirt W","Meet your new off-duty favorite. The Stadium French Terry Sweatshirt brings a heritage-inspired look to modern comfort with a perfectly broken-in feel. Crafted from ultra-soft diagonal French Terry, i","Stadium French Terry Sweatshirt - Sage Heather. A heritage-inspired look with modern comfort and a broken-in feel. Crafted from diagonal French Terry.","Yes","Product","Yes","No","Yes","24","5","5","","","Add reviews/ratings to JSON-LD"
"stadium-french-terry-sweatshirt-w-2","https://tascperformance.com/products/stadium-french-terry-sweatshirt-w-2","Stadium French Terry Sweatshirt W","Meet your new off-duty favorite. The Stadium French Terry Sweatshirt brings a heritage-inspired look to modern comfort with a perfectly broken-in feel. Crafted from ultra-soft diagonal French Terry, i","Stadium French Terry Sweatshirt - Birch Heather. A heritage-inspired look with modern comfort and a broken-in feel. Crafted from diagonal French Terry.","Yes","Product","Yes","No","Yes","25","5","5","","","Add reviews/ratings to JSON-LD"
"stadium-frech-terry-full-zip-hoodie","https://tascperformance.com/products/stadium-frech-terry-full-zip-hoodie","Stadium French Terry Full Zip Hoodie","The Stadium French Terry Full Zip Hoodie blends old-school inspired style with everyday function. Made from ultra-soft diagonal French Terry, it’s the layer you’ll reach for again and again—whether yo","The Stadium French Terry Full Zip Hoodie - Heather Gray. Made from ultra-soft diagonal French Terry, it’s the layer you’ll reach for again and again.","Yes","Product","No","Yes","Yes","25","5","3","","","Add brand to JSON-LD"
"stadium-frech-terry-full-zip-hoodie-1","https://tascperformance.com/products/stadium-frech-terry-full-zip-hoodie-1","Stadium French Terry Full Zip Hoodie","The Stadium French Terry Full Zip Hoodie blends old-school inspired style with everyday function. Made from ultra-soft diagonal French Terry, it’s the layer you’ll reach for again and again—whether yo","The Stadium French Terry Full Zip Hoodie - Birch Heather. Made from ultra-soft diagonal French Terry, it’s the layer you’ll reach for again and again.","Yes","Product","Yes","No","Yes","26","5","5","","","Add reviews/ratings to JSON-LD"
"stadium-french-terry-sweatpant","https://tascperformance.com/products/stadium-french-terry-sweatpant","Stadium French Terry Sweatpant","The Stadium French Terry Jogger is a fresh take on a classic—soft, structured, and made to move. Crafted from ultra-comfortable diagonal French Terry, it delivers that lived-in feel from day one, whil","The Stadium French Terry Jogger - Sage Heather. A fresh take on a classic—soft, structured, and made of ultra-comfortable diagonal French Terry.","Yes","Product","Yes","No","Yes","23","5","5","","","Add reviews/ratings to JSON-LD"
"stadium-french-terry-sweatpant-1","https://tascperformance.com/products/stadium-french-terry-sweatpant-1","Stadium French Terry Sweatpant","The Stadium French Terry Jogger is a fresh take on a classic—soft, structured, and made to move. Crafted from ultra-comfortable diagonal French Terry, it delivers that lived-in feel from day one, whil","Crafted from ultra-comfortable diagonal French Terry, these joggers deliver lived-in feel from day one, while elastic cuffs add just the right amount of polish.","Yes","Product","Yes","No","Yes","24","5","6","","","Add reviews/ratings to JSON-LD"
"stadium-french-terry-ankle-pant","https://tascperformance.com/products/stadium-french-terry-ankle-pant","Stadium French Terry Ankle Pant","The Stadium French Terry Crop Pant blends old-school inspiration with a fresh, flattering fit. Made from our ultra-soft diagonal French Terry, this pant feels broken-in from the start, with a polished","The Stadium French Terry Crop Pant - Iron Heather. Blends old-school inspiration with a fresh, flattering fit. Made from our ultra-soft diagonal French Terry.","Yes","Product","Yes","No","Yes","23","5","5","","","Add reviews/ratings to JSON-LD"
"stadium-french-terry-ankle-pant-1","https://tascperformance.com/products/stadium-french-terry-ankle-pant-1","Stadium French Terry Ankle Pant","The Stadium French Terry Crop Pant blends old-school inspiration with a fresh, flattering fit. Made from our ultra-soft diagonal French Terry, this pant feels broken-in from the start, with a polished","The Stadium French Terry Crop Pant - Sage Heather. Blends old-school inspiration with a fresh, flattering fit. Made from our ultra-soft diagonal French Terry.","Yes","Product","Yes","No","Yes","23","5","5","","","Add reviews/ratings to JSON-LD"
"stratford-performance-quarter-zip-3","https://tascperformance.com/products/stratford-performance-quarter-zip-3","Stratford Performance Quarter Zip","Meet the Stratford Performance Quarter Zip, the perfect layering piece. This quarter zip is great for the golf course, no matter the weather, with temperature regulating superpowers. Not only are they","Meet the Stratford Performance Quarter Zip, the perfect layering piece. This quarter zip is great for the golf course, no matter the weather, with temperature regulating superpowers. Not only are they extremely comfortable and lightweight but they outperform everyone else. The comfortable relaxed fit allows you to move","Yes","Product","Yes","No","Yes","25","5","4","","","Add reviews/ratings to JSON-LD"
"monterey-performance-wind-quarter-zip-2","https://tascperformance.com/products/monterey-performance-wind-quarter-zip-2","Monterey Performance Wind Quarter Zip","The Monterey Quarter Zip combines lightweight comfort with weather-ready performance. The water-resistant finish is built to handle whatever the day brings while side zipper pockets keep essentials sa","The Monterey Quarter Zip combines lightweight comfort with weather-ready performance. The water-resistant finish is built to handle whatever the day brings while side zipper pockets keep essentials safe. Whether you're on the go or perfecting your short game (or just sneaking in the back 9 before lunch), the Monterey Q","Yes","Product","Yes","No","Yes","20","5","5","","","Add reviews/ratings to JSON-LD"
"atlas-lightweight-fleece-1-2-zip","https://tascperformance.com/products/atlas-lightweight-fleece-1-2-zip","Atlas Lightweight Fleece 1/2 Zip","Meet the Atlas Fleece ½ Zip—where performance meets comfort. Built with brushed-back fleece for extra warmth and our signature bamboo softness, this versatile layer is designed to keep you moving in c","Meet the Atlas Fleece ½ Zip—where performance meets comfort. Built with brushed-back fleece for extra warmth and our signature bamboo softness, this versatile layer is designed to keep you moving in comfort no matter the setting. Lightweight yet cozy, it’s perfect for training sessions, travel days, or simply taking on","Yes","Product","Yes","No","Yes","27","5","4","","","Add reviews/ratings to JSON-LD"
"atlas-lightweight-fleece-1-2-zip-1","https://tascperformance.com/products/atlas-lightweight-fleece-1-2-zip-1","Atlas Lightweight Fleece 1/2 Zip","Meet the Atlas Fleece ½ Zip—where performance meets comfort. Built with brushed-back fleece for extra warmth and our signature bamboo softness, this versatile layer is designed to keep you moving in c","Meet the Atlas Fleece ½ Zip—where performance meets comfort. Built with brushed-back fleece for extra warmth and our signature bamboo softness, this versatile layer is designed to keep you moving in comfort no matter the setting. Lightweight yet cozy, it’s perfect for training sessions, travel days, or simply taking on","Yes","Product","Yes","No","Yes","26","5","4","","","Add reviews/ratings to JSON-LD"
"lodge-sherpa-half-zip-pullover","https://tascperformance.com/products/lodge-sherpa-half-zip-pullover","Lodge Sherpa Half Zip Pullover","Wrap yourself in our ultra-cozy Lodge Sherpa Half Zip Pullover for comfort to live in. Made from an ultra-soft, lofted sherpa fabric, this style delivers elevated warmth with an irresistibly plush fee","Wrap yourself in our ultra-cozy Lodge Sherpa Half Zip Pullover for comfort to live in. Made from an ultra-soft, lofted sherpa fabric, this style delivers elevated warmth with an irresistibly plush feel. With thoughtfully detailed Green Quartz contrast binding for a playful pop of color, choose this layer for an easy, c","Yes","Product","Yes","No","Yes","21","5","5","","","Add reviews/ratings to JSON-LD"
"allways-7-8-pocket-legging-1","https://tascperformance.com/products/allways-7-8-pocket-legging-1","ALLways 7/8 Pocket Legging","The Women's ALLways 7/8 Pocket Leggings were made for those who are prepared to tackle whatever the day brings from sunup to sundown and everything in between. We reinvented the essential legging and ","The Women's ALLways 7/8 Pocket Leggings were made for those who are prepared to tackle whatever the day brings from sunup to sundown and everything in between. We reinvented the essential legging and elevated these basics with a design that does it all. They are breathable, temperature regulating, stretchy with an adde","Yes","Product","Yes","No","Yes","27","5","5","","","Add reviews/ratings to JSON-LD; Title may be too short"
"allways-full-length-pocket-legging-1","https://tascperformance.com/products/allways-full-length-pocket-legging-1","ALLways Full Length Pocket Legging","The Women's ALLways Full Length Pocket Leggings were made for those who are prepared to tackle whatever the day brings from sunup to sundown. We reinvented the essential legging and elevated this basi","The Women's ALLways Full Length Pocket Leggings were made for those who are prepared to tackle whatever the day brings from sunup to sundown. We reinvented the essential legging and elevated this basic staple with a design that does it all. Made from fabric that's breathable, temperature regulating, and stretchy with a","Yes","Product","Yes","No","Yes","26","5","5","","","Add reviews/ratings to JSON-LD"
"atlas-lightweight-fleece-hoodie-2","https://tascperformance.com/products/atlas-lightweight-fleece-hoodie-2","Atlas Lightweight Fleece Hoodie","The Atlas Fleece Hoodie combines modern performance with signature bamboo softness for the ultimate in comfort and versatility. Crafted with brushed-back bamboo fleece, it delivers lightweight warmth ","The Atlas Fleece Hoodie combines modern performance with signature bamboo softness for the ultimate in comfort and versatility. Crafted with brushed-back bamboo fleece, it delivers lightweight warmth and breathable ease that moves with you—whether you’re on the course, on the go, or just taking it easy. Designed with a","Yes","Product","Yes","No","Yes","24","5","4","","","Add reviews/ratings to JSON-LD"
"newport-soft-quilt-pullover-2","https://tascperformance.com/products/newport-soft-quilt-pullover-2","Newport Soft Quilt Pullover","Elevate your outerwear game. The Newport Quilted Jacket is the perfect blend of style and performance. Its lightweight, quilted design offers superior warmth and comfort, while its four-way stretch en","Elevate your outerwear game. The Newport Quilted Jacket is the perfect blend of style and performance. Its lightweight, quilted design offers superior warmth and comfort, while its four-way stretch ensures maximum mobility. Pair it with our Motion Pant or Montrose Pant for a sleek, sophisticated look that's perfect for","Yes","Product","Yes","No","Yes","25","5","4","","","Add reviews/ratings to JSON-LD; Title may be too short"
"newport-soft-quilt-pullover-3","https://tascperformance.com/products/newport-soft-quilt-pullover-3","Newport Soft Quilt Pullover","Elevate your outerwear game. The Newport Quilted Jacket is the perfect blend of style and performance. Its lightweight, quilted design offers superior warmth and comfort, while its four-way stretch en","Elevate your outerwear game. The Newport Quilted Jacket is the perfect blend of style and performance. Its lightweight, quilted design offers superior warmth and comfort, while its four-way stretch ensures maximum mobility. Pair it with our Motion Pant or Montrose Pant for a sleek, sophisticated look that's perfect for","Yes","Product","Yes","No","Yes","25","5","3","","","Add reviews/ratings to JSON-LD; Title may be too short"
"hampton-sweater","https://tascperformance.com/products/hampton-sweater","Hampton Sweater","The Hampton Sweater blends elevated style with the unmatched bamboo softness you know and love. Featuring a refined diamond knit jacquard pattern, this sweater brings a sophisticated edge to your fall","The Hampton Sweater blends elevated style with the unmatched bamboo softness you know and love. Featuring a refined diamond knit jacquard pattern, this sweater brings a sophisticated edge to your fall wardrobe while delivering the comfort that makes tasc Performance a staple. Lightweight, breathable, and endlessly vers","Yes","Product","No","Yes","Yes","26","5","4","","","Add brand to JSON-LD; Title may be too short"
"hampton-sweater-1","https://tascperformance.com/products/hampton-sweater-1","Hampton Sweater","The Hampton Sweater blends elevated style with the unmatched bamboo softness you know and love. Featuring a refined diamond knit jacquard pattern, this sweater brings a sophisticated edge to your fall","The Hampton Sweater blends elevated style with the unmatched bamboo softness you know and love. Featuring a refined diamond knit jacquard pattern, this sweater brings a sophisticated edge to your fall wardrobe while delivering the comfort that makes tasc Performance a staple. Lightweight, breathable, and endlessly vers","Yes","Product","Yes","No","Yes","25","5","5","","","Add reviews/ratings to JSON-LD; Title may be too short"
"hampton-sweater-2","https://tascperformance.com/products/hampton-sweater-2","Hampton Sweater","The Hampton Sweater blends elevated style with the unmatched bamboo softness you know and love. Featuring a refined diamond knit jacquard pattern, this sweater brings a sophisticated edge to your fall","The Hampton Sweater blends elevated style with the unmatched bamboo softness you know and love. Featuring a refined diamond knit jacquard pattern, this sweater brings a sophisticated edge to your fall wardrobe while delivering the comfort that makes tasc Performance a staple. Lightweight, breathable, and endlessly vers","Yes","Product","No","Yes","Yes","26","5","4","","","Add brand to JSON-LD; Title may be too short"
"legacy-heavyweight-fleece-1-4-zip","https://tascperformance.com/products/legacy-heavyweight-fleece-1-4-zip","Legacy Heavyweight Fleece 1/4 Zip","Elevate your layering game with the Legacy Heavy Fleece 1/4 Zip, the ultimate blend of comfort, durability, and sustainability. Crafted from a thoughtfully designed mix of bamboo, cotton, and recycled","The Legacy Heavy Fleece 1/4 Zip: crafted from bamboo, cotton, and recycled polyester, this brushed-back fleece offers a luxuriously soft feel.","Yes","Product","Yes","No","Yes","28","5","5","","","Add reviews/ratings to JSON-LD"
"legacy-heavyweight-fleece-1-4-zip-1","https://tascperformance.com/products/legacy-heavyweight-fleece-1-4-zip-1","Legacy Heavyweight Fleece 1/4 Zip","Elevate your layering game with the Legacy Heavy Fleece 1/4 Zip, the ultimate blend of comfort, durability, and sustainability. Crafted from a thoughtfully designed mix of bamboo, cotton, and recycled","The Legacy Heavy Fleece 1/4 Zip: crafted from bamboo, cotton, and recycled polyester, this brushed-back fleece offers a luxuriously soft feel.","Yes","Product","Yes","No","Yes","26","5","5","","","Add reviews/ratings to JSON-LD"
"power-quilt-puffer-vest","https://tascperformance.com/products/power-quilt-puffer-vest","Power Quilt Puffer Vest","Meet the missing piece to pulling together the stylishly sleek look you're after. Our Power Puffer Vest is your new wardrobe staple – crafted from 100% recycled nylon and designed with a subtle shine ","Our Power Puffer Vest is crafted from 100% recycled nylon with a subtle shine + medium fill, discover the puffer vest that delivers warmth without the bulk.","Yes","Product","Yes","No","Yes","25","5","6","","","Add reviews/ratings to JSON-LD; Title may be too short"
"power-quilted-puffer-vest","https://tascperformance.com/products/power-quilted-puffer-vest","Power Quilted Puffer Vest","Meet the missing piece to pulling together the stylishly sleek look you're after. Our Power Puffer Vest is your new wardrobe staple – crafted from 100% recycled nylon and designed with a subtle shine ","Our Power Puffer Vest is crafted from 100% recycled nylon with a subtle shine + medium fill, discover the puffer vest that delivers warmth without the bulk.","Yes","Product","Yes","No","Yes","26","5","5","","","Add reviews/ratings to JSON-LD; Title may be too short"
"nola-long-sleeve-t-shirt-18","https://tascperformance.com/products/nola-long-sleeve-t-shirt-18","NOLA Long Sleeve T-Shirt","The NOLA Long Sleeve isn't your average long sleeve top. A light and breathable active top, it's designed to naturally wick moisture away from the body and protect your skin from the sun. Pair this el","The NOLA Long Sleeve isn't your average long sleeve top. A light and breathable active top, it's designed to naturally wick moisture away from the body and protect your skin from the sun. Pair this elevated essential with our jogger for an athleisure look or layer under our NOLA jacket for those chilly days! Explore ou","Yes","Product","Yes","No","Yes","25","5","3","","","Add reviews/ratings to JSON-LD; Title may be too short"
"longline-long-sleeve-t-shirt-mardi-gras-2025","https://tascperformance.com/products/longline-long-sleeve-t-shirt-mardi-gras-2025","Longline Long Sleeve T-Shirt - Mardi Gras","Get in the Mardi Gras spirit with our Longline Long Sleeve T-Shirt! This limited edition top features an embroidered festive design. This relaxed fit long line shirt features a U-neck and long sleeves","Get in the Mardi Gras spirit with our Longline Long Sleeve T-Shirt! This limited edition top features an embroidered festive design. This relaxed fit long line shirt features a U-neck and long sleeves, making it perfect for any casual outing. The exaggerated curved shirttail hem adds a unique touch, with a 29” length f","Yes","Product","Yes","No","Yes","21","5","3","","","Add reviews/ratings to JSON-LD"
